title,year,location,project_id,publication_date
"B&O Wooden Car Park / HK Architekten, Hermann Kaufmann + Partner ZT",2022,"Bad Aibling, Germany",992146,2022-11-14T02:00:00.000Z
Nike HomeCourt Skate Landscape / F31,2021,"Hilversum, The Netherlands",971246,2022-11-14T01:00:00.000Z
Jacaranda House  / Architects Ink,2020,"Adelaide, Australia",992094,2022-11-14T00:00:00.000Z
Cool House / Samira Rathod Design Atelier,2022,"Bharuch, India",992088,2022-11-13T23:00:00.000Z
Speehuis House / Spee Architecten,2021,"Oisterwijk, The Netherlands",992102,2022-11-13T21:00:00.000Z
Nemuno 7 Gallery / Hito.lt,2022,"Dievogala, Lithuania",992108,2022-11-13T19:00:00.000Z
Sede Social Community Center / DX Arquitectos,2018,"Lampa, Chile",992124,2022-11-13T17:00:00.000Z
Big Branzino Sauna / Sandellsandberg,2022,Sweden,991980,2022-11-13T15:00:00.000Z
CMI Luxembourg / Moreno Architecture,2019,"Mondorf-les-Bains, Luxembourg",992075,2022-11-13T13:00:00.000Z
Caracol Building / Estudio Herreros + MIM-A,2019,"Sant Boi de Llobregat, Spain",971286,2022-11-13T11:00:00.000Z
House in Kaunas / Architectural Bureau G.Natkevicius & Partners,2021,"Kaunas, Lithuania",992046,2022-11-13T09:00:00.000Z
Julia Stoschek Collection Berlin / Meyer-Grohbrügge,2016,"Berlin, Germany",991546,2022-11-13T06:00:00.000Z
The Mercian Apartments / Glenn Howells Architects,2022,"Birmingham, United Kingdom",992092,2022-11-13T02:00:00.000Z
Kitano Construction Nagano Head Office / Atsushi Kitagawara Architects,2021,"Nagano, Japan",992104,2022-11-12T23:00:00.000Z
House at Shelford Road / Designshop,2022,Singapore,992098,2022-11-12T21:00:00.000Z
Decommissioning #1 Installation / Pareid,2022,"Librán, Spain",991815,2022-11-12T19:00:00.000Z
5um7 Neapolitan Pizza / Aalva arquitetos,2021,"Jau, Brazil",991368,2022-11-12T17:00:00.000Z
Cranberry Pond House / Bryce de Reynier,2022,United States,992021,2022-11-12T15:00:00.000Z
Cecrea Creation Center of La Ligua / L2 Arquitectura + Mario López,2019,"La Ligua, Chile",990462,2022-11-12T13:00:00.000Z
House AS / Ábaton,2021,"Madrid, Spain",991761,2022-11-12T11:00:00.000Z
Omics Research Center / jaq,2018,"Paris, France",991762,2022-11-12T09:00:00.000Z
ASB House / Moreno Architecture,2020,"Walferdange, Luxembourg",992076,2022-11-12T06:00:00.000Z
Huiyang Shatian Town No. 2 Primary School / MultiArch,2022,"Huizhou, China",992033,2022-11-12T02:00:00.000Z
Adana Sucuzade Urban Square / PLUG,2022,"Adana, Turkey",992044,2022-11-11T22:00:00.000Z
